As Of;Currency;NAV;Securities In Issue;Net Assets;Fund Return Series;Benchmark Return Series
01/Oct/2019;EUR;5,21;21.930.169,00;114.311.904,78;104,24;104,60
30/Sept/2019;EUR;5,21;21.930.169,00;114.244.284,28;104,18;104,55
27/Sept/2019;EUR;5,21;21.930.169,00;114.294.782,18;104,22;104,57
26/Sept/2019;EUR;5,21;21.930.169,00;114.315.567,02;104,24;104,60
25/Sept/2019;EUR;5,21;21.930.169,00;114.278.549,02;104,21;104,59
24/Sept/2019;EUR;5,22;21.930.169,00;114.528.521,66;104,44;104,81
23/Sept/2019;EUR;5,23;21.930.169,00;114.681.773,45;104,58;104,95
20/Sept/2019;EUR;5,23;22.029.243,00;115.288.734,37;104,66;105,01
19/Sept/2019;EUR;5,23;22.029.243,00;115.284.448,39;104,65;105,00
18/Sept/2019;EUR;5,23;22.029.243,00;115.307.388,19;104,67;105,05
17/Sept/2019;EUR;5,24;22.029.243,00;115.363.505,35;104,73;105,10
16/Sept/2019;EUR;5,24;22.029.243,00;115.462.593,13;104,82;105,18
13/Sept/2019;EUR;5,24;22.029.243,00;115.463.401,94;104,82;105,16
12/Sept/2019;EUR;5,23;21.029.243,00;110.059.251,31;104,66;105,01
11/Sept/2019;EUR;5,22;21.229.243,00;110.891.964,96;104,46;104,83
10/Sept/2019;EUR;5,22;21.229.243,00;110.920.876,64;104,49;104,86
09/Sept/2019;EUR;5,23;21.229.243,00;110.988.435,03;104,55;104,92
06/Sept/2019;EUR;5,23;21.229.243,00;111.017.268,95;104,58;104,92
05/Sept/2019;EUR;5,23;20.217.802,00;105.756.730,41;104,61;104,95
04/Sept/2019;EUR;5,23;20.217.802,00;105.679.511,34;104,53;104,89
03/Sept/2019;EUR;5,22;20.217.802,00;105.603.351,77;104,45;104,81
02/Sept/2019;EUR;5,23;20.217.802,00;105.645.457,90;104,50;104,85
30/Aug/2019;EUR;5,22;20.217.802,00;105.594.047,89;104,45;104,79
29/Aug/2019;EUR;5,22;20.217.802,00;105.529.057,37;104,38;104,72
28/Aug/2019;EUR;5,21;20.293.400,00;105.754.977,44;104,22;104,58
27/Aug/2019;EUR;5,21;20.293.400,00;105.708.646,54;104,17;104,53
23/Aug/2019;EUR;5,20;20.293.400,00;105.612.578,54;104,07;104,41
22/Aug/2019;EUR;5,20;20.413.399,00;106.125.664,97;103,97;104,30
21/Aug/2019;EUR;5,19;20.013.399,00;103.847.714,65;103,77;104,13
20/Aug/2019;EUR;5,18;20.013.399,00;103.595.342,99;103,52;103,89
19/Aug/2019;EUR;5,17;20.013.399,00;103.381.345,81;103,30;103,67
16/Aug/2019;EUR;5,16;20.013.399,00;103.269.155,27;103,19;103,54
15/Aug/2019;EUR;5,16;20.013.399,00;103.236.237,52;103,16;103,51
14/Aug/2019;EUR;5,16;20.013.399,00;103.311.920,66;103,23;103,60
13/Aug/2019;EUR;5,17;20.013.399,00;103.397.622,13;103,32;103,68
12/Aug/2019;EUR;5,17;20.013.399,00;103.502.956,08;103,42;103,78
09/Aug/2019;EUR;5,17;20.013.399,00;103.530.725,67;103,45;103,78
08/Aug/2019;EUR;5,17;20.613.399,00;106.667.622,42;103,48;103,81
07/Aug/2019;EUR;5,17;20.613.399,00;106.568.619,69;103,39;103,73
06/Aug/2019;EUR;5,17;20.613.399,00;106.595.033,33;103,41;103,75
05/Aug/2019;EUR;5,17;20.613.399,00;106.552.002,16;103,37;103,71
02/Aug/2019;EUR;5,18;21.413.399,00;110.969.466,49;103,63;103,95
01/Aug/2019;EUR;5,19;21.413.399,00;111.168.613,13;103,82;104,13
31/Jul/2019;EUR;5,19;21.413.399,00;111.139.069,53;103,79;104,13
30/Jul/2019;EUR;5,19;21.313.399,00;110.591.145,39;103,77;104,12
29/Jul/2019;EUR;5,20;21.313.399,00;110.758.656,83;103,92;104,26
26/Jul/2019;EUR;5,19;21.313.399,00;110.720.567,36;103,89;104,20
25/Jul/2019;EUR;5,19;20.979.965,00;108.971.911,87;103,87;104,17
24/Jul/2019;EUR;5,18;20.979.965,00;108.690.514,18;103,60;103,93
23/Jul/2019;EUR;5,17;20.809.965,00;107.627.100,81;103,43;103,75
22/Jul/2019;EUR;5,17;20.809.965,00;107.499.745,23;103,30;103,63
19/Jul/2019;EUR;5,16;17.109.965,00;88.354.427,06;103,27;103,57
18/Jul/2019;EUR;5,16;20.953.515,00;108.145.071,46;103,21;103,52
17/Jul/2019;EUR;5,17;20.953.515,00;108.309.501,16;103,37;103,69
16/Jul/2019;EUR;5,17;18.603.515,00;96.254.362,28;103,47;103,79
15/Jul/2019;EUR;5,18;18.603.515,00;96.288.034,03;103,51;103,82
12/Jul/2019;EUR;5,18;17.660.838,00;91.444.904,99;103,55;103,84
11/Jul/2019;EUR;5,18;13.960.838,00;72.291.691,70;103,55;103,85
10/Jul/2019;EUR;5,18;13.250.528,00;68.575.101,71;103,49;103,81
09/Jul/2019;EUR;5,17;13.250.528,00;68.571.154,40;103,49;103,79
08/Jul/2019;EUR;5,18;11.650.528,00;60.404.680,24;103,68;103,98
05/Jul/2019;EUR;5,19;11.750.528,00;60.975.486,34;103,77;104,04
04/Jul/2019;EUR;5,19;11.750.528,00;60.969.221,37;103,76;104,03
03/Jul/2019;EUR;5,18;11.300.528,00;58.572.988,21;103,65;103,95
02/Jul/2019;EUR;5,17;11.300.528,00;58.469.288,94;103,47;103,76
01/Jul/2019;EUR;5,17;11.300.528,00;58.407.103,78;103,36;103,64
28/Jun/2019;EUR;5,16;11.300.528,00;58.289.553,92;103,15;103,40
27/Jun/2019;EUR;5,15;12.311.983,00;63.414.431,14;103,00;103,25
26/Jun/2019;EUR;5,14;12.261.983,00;63.055.733,51;102,84;103,11
25/Jun/2019;EUR;5,14;12.261.983,00;63.068.080,50;102,86;103,12
24/Jun/2019;EUR;5,15;11.836.189,00;60.962.697,58;103,00;103,27
21/Jun/2019;EUR;5,15;11.836.189,00;60.983.655,15;103,04;103,28
20/Jun/2019;EUR;5,15;11.416.189,00;58.825.869,72;103,05;103,28
19/Jun/2019;EUR;5,13;10.809.319,00;55.410.917,30;102,51;102,81
18/Jun/2019;EUR;5,11;10.689.319,00;54.656.105,69;102,25;102,54
17/Jun/2019;EUR;5,10;21.189.319,00;108.022.860,55;101,95;102,24
14/Jun/2019;EUR;5,10;21.189.319,00;108.002.430,38;101,93;102,20
13/Jun/2019;EUR;5,10;21.239.891,00;108.255.008,35;101,92;102,19
12/Jun/2019;EUR;5,09;21.239.891,00;108.204.811,62;101,88;102,16
11/Jun/2019;EUR;5,10;21.239.891,00;108.294.455,20;101,96;102,23
10/Jun/2019;EUR;5,09;21.239.891,00;108.086.031,19;101,77;102,02
07/Jun/2019;EUR;5,08;20.633.025,00;104.791.076,35;101,57;101,78
06/Jun/2019;EUR;5,07;20.633.025,00;104.640.056,35;101,42;101,63
05/Jun/2019;EUR;5,07;20.663.035,00;104.738.259,31;101,37;101,59
04/Jun/2019;EUR;5,06;21.876.776,00;110.748.163,93;101,24;101,47
03/Jun/2019;EUR;5,06;21.876.776,00;110.602.873,51;101,10;101,33
31/May/2019;EUR;5,06;21.876.776,00;110.775.629,97;101,26;101,47
30/May/2019;EUR;5,08;21.876.776,00;111.131.939,00;101,59;101,81
29/May/2019;EUR;5,08;21.876.776,00;111.165.160,65;101,62;101,85
28/May/2019;EUR;5,09;21.876.776,00;111.359.174,49;101,80;102,03
24/May/2019;EUR;5,09;21.676.776,00;110.365.967,68;101,82;102,02
23/May/2019;EUR;5,09;21.626.776,00;110.027.456,27;101,74;101,94
22/May/2019;EUR;5,10;21.626.776,00;110.239.248,39;101,94;102,17
21/May/2019;EUR;5,10;19.726.776,00;100.563.191,22;101,95;102,18
20/May/2019;EUR;5,09;19.976.776,00;101.737.486,12;101,85;102,08
17/May/2019;EUR;5,09;19.976.776,00;101.762.208,18;101,87;102,08
16/May/2019;EUR;5,09;19.976.776,00;101.687.415,46;101,80;102,00
15/May/2019;EUR;5,08;21.392.797,00;108.780.059,68;101,69;101,92
14/May/2019;EUR;5,08;21.392.797,00;108.752.106,98;101,66;101,89
13/May/2019;EUR;5,09;21.392.797,00;108.797.648,49;101,70;101,94
10/May/2019;EUR;5,10;21.392.797,00;109.001.772,32;101,89;102,10
09/May/2019;EUR;5,09;21.392.797,00;108.939.936,06;101,84;102,04
08/May/2019;EUR;5,10;21.392.797,00;109.148.672,28;102,03;102,25
07/May/2019;EUR;5,12;21.392.797,00;109.444.236,22;102,31;102,52
03/May/2019;EUR;5,13;21.567.792,00;110.570.597,83;102,52;102,70
02/May/2019;EUR;5,13;20.556.345,00;105.493.706,37;102,63;102,80
01/May/2019;EUR;5,14;20.556.345,00;105.618.485,84;102,75;102,96
30/Apr/2019;EUR;5,14;20.556.345,00;105.608.096,11;102,74;102,96
29/Apr/2019;EUR;5,14;20.556.345,00;105.595.186,29;102,73;102,96
26/Apr/2019;EUR;5,14;20.147.189,00;103.464.637,06;102,70;102,91
25/Apr/2019;EUR;5,14;19.641.463,00;100.931.115,59;102,76;102,97
24/Apr/2019;EUR;5,15;19.641.463,00;101.104.714,33;102,94;103,16
23/Apr/2019;EUR;5,15;19.641.463,00;101.112.035,06;102,95;103,17
18/Apr/2019;EUR;5,14;19.641.463,00;101.035.799,64;102,87;103,05
17/Apr/2019;EUR;5,14;15.124.430,00;77.760.643,02;102,82;102,99
16/Apr/2019;EUR;5,13;19.170.253,00;98.426.999,96;102,68;102,89
15/Apr/2019;EUR;5,13;19.170.253,00;98.348.047,32;102,59;102,80
12/Apr/2019;EUR;5,12;19.170.253,00;98.222.593,48;102,46;102,65
11/Apr/2019;EUR;5,12;19.390.482,00;99.244.756,30;102,35;102,54
10/Apr/2019;EUR;5,11;19.390.482,00;99.165.939,95;102,27;102,47
09/Apr/2019;EUR;5,11;19.390.482,00;99.103.172,67;102,21;102,41
08/Apr/2019;EUR;5,11;19.640.482,00;100.376.605,67;102,20;102,41
05/Apr/2019;EUR;5,11;19.640.482,00;100.336.016,09;102,16;102,34
04/Apr/2019;EUR;5,11;19.640.482,00;100.290.337,01;102,12;102,30
03/Apr/2019;EUR;5,11;19.640.482,00;100.325.288,27;102,15;102,35
02/Apr/2019;EUR;5,10;19.640.482,00;100.175.756,05;102,00;102,20
01/Apr/2019;EUR;5,09;19.640.482,00;99.907.174,60;101,73;101,92
31/Mar/2019;EUR;5,08;--;--;--;--
29/Mar/2019;EUR;5,08;19.235.905,00;97.647.382,39;101,52;101,69
28/Mar/2019;EUR;5,07;19.235.905,00;97.511.980,48;101,37;101,55
27/Mar/2019;EUR;5,07;19.235.905,00;97.476.599,23;101,34;101,53
26/Mar/2019;EUR;5,06;18.285.602,00;92.585.695,26;101,26;101,45
25/Mar/2019;EUR;5,06;18.285.602,00;92.495.920,24;101,16;101,35
22/Mar/2019;EUR;5,06;18.235.602,00;92.312.742,92;101,23;101,40
21/Mar/2019;EUR;5,06;17.435.602,00;88.302.844,04;101,28;101,45
20/Mar/2019;EUR;5,07;17.435.602,00;88.330.860,19;101,31;101,50
19/Mar/2019;EUR;5,07;17.395.144,00;88.147.990,62;101,34;101,53
18/Mar/2019;EUR;5,06;17.395.144,00;88.030.243,28;101,20;101,40
15/Mar/2019;EUR;5,06;17.468.394,00;88.312.866,63;101,10;101,28
14/Mar/2019;EUR;5,05;17.468.394,00;88.264.262,75;101,05;101,22
13/Mar/2019;EUR;5,05;17.468.394,00;88.130.083,23;100,89;101,09
12/Mar/2019;EUR;5,04;17.468.394,00;87.992.940,12;100,73;100,93
11/Mar/2019;EUR;5,03;17.225.171,00;86.584.130,98;100,52;100,72
08/Mar/2019;EUR;5,02;17.295.171,00;86.880.626,31;100,46;100,63
07/Mar/2019;EUR;5,04;17.295.171,00;87.086.626,49;100,70;100,87
06/Mar/2019;EUR;5,04;17.295.171,00;87.137.835,88;100,76;100,95
05/Mar/2019;EUR;5,04;17.095.171,00;86.190.375,55;100,83;101,02
04/Mar/2019;EUR;5,04;17.095.171,00;86.121.190,31;100,74;100,94
01/Mar/2019;EUR;5,03;17.095.171,00;86.061.557,94;100,67;100,85
28/Feb/2019;EUR;5,03;17.095.171,00;85.993.662,15;100,60;100,76
27/Feb/2019;EUR;5,03;16.889.312,00;84.910.984,49;100,54;100,73
26/Feb/2019;EUR;5,02;16.862.312,00;84.643.508,83;100,38;100,57
25/Feb/2019;EUR;5,01;16.062.312,00;80.497.262,40;100,22;100,42
22/Feb/2019;EUR;5,00;16.102.677,00;80.538.359,88;100,02;100,19
21/Feb/2019;EUR;5,00;16.184.612,00;80.862.054,77;99,91;100,08
20/Feb/2019;EUR;4,99;16.164.026,00;80.665.529,97;99,80;99,99
19/Feb/2019;EUR;4,99;13.014.026,00;64.880.415,10;99,70;99,88
18/Feb/2019;EUR;4,98;13.014.026,00;64.810.183,28;99,59;99,77
15/Feb/2019;EUR;4,97;16.101.926,00;80.061.361,08;99,43;99,59
14/Feb/2019;EUR;4,97;15.502.638,00;77.042.651,74;99,38;99,54
13/Feb/2019;EUR;4,96;15.502.638,00;76.970.091,13;99,29;99,47
12/Feb/2019;EUR;4,96;13.855.784,00;68.738.010,25;99,21;99,38
11/Feb/2019;EUR;4,96;16.217.306,00;80.369.229,31;99,11;99,28
08/Feb/2019;EUR;4,96;16.217.306,00;80.371.878,58;99,11;99,25
07/Feb/2019;EUR;4,97;16.217.306,00;80.529.366,66;99,30;99,45
06/Feb/2019;EUR;4,97;16.067.306,00;79.869.255,60;99,41;99,58
05/Feb/2019;EUR;4,96;16.067.306,00;79.694.315,86;99,19;99,36
04/Feb/2019;EUR;4,95;16.067.306,00;79.512.083,57;98,96;99,13
01/Feb/2019;EUR;4,95;16.236.306,00;80.381.273,15;99,00;99,15
31/Jan/2019;EUR;4,95;16.236.306,00;80.341.226,52;98,95;99,10
30/Jan/2019;EUR;4,93;16.236.306,00;80.065.636,04;98,62;98,79
29/Jan/2019;EUR;4,93;16.236.306,00;79.988.694,18;98,52;98,69
28/Jan/2019;EUR;4,93;14.236.306,00;70.164.297,91;98,56;98,73
25/Jan/2019;EUR;4,93;7.648.659,00;37.686.337,63;98,53;98,68
24/Jan/2019;EUR;4,92;7.648.659,00;37.651.640,96;98,44;98,59
23/Jan/2019;EUR;4,92;7.648.659,00;37.622.386,55;98,37;98,53
22/Jan/2019;EUR;4,92;7.648.659,00;37.656.871,66;98,46;98,62
21/Jan/2019;EUR;4,93;7.339.865,00;36.163.891,34;98,53;98,69
18/Jan/2019;EUR;4,92;7.339.865,00;36.144.565,46;98,48;98,62
17/Jan/2019;EUR;4,92;7.589.865,00;37.312.413,75;98,31;98,45
16/Jan/2019;EUR;4,91;6.339.865,00;31.135.736,40;98,21;98,37
15/Jan/2019;EUR;4,90;5.410.558,00;26.485.775,66;97,89;98,05
14/Jan/2019;EUR;4,89;5.459.965,00;26.688.126,78;97,75;97,91
11/Jan/2019;EUR;4,89;5.459.965,00;26.687.937,40;97,75;97,88
10/Jan/2019;EUR;4,88;5.459.965,00;26.643.176,68;97,58;97,72
09/Jan/2019;EUR;4,88;5.239.965,00;25.573.912,57;97,60;97,76
08/Jan/2019;EUR;4,86;6.339.965,00;30.796.511,81;97,14;97,29
07/Jan/2019;EUR;4,84;7.414.965,00;35.867.413,72;96,73;96,87
04/Jan/2019;EUR;4,82;7.312.033,00;35.275.559,67;96,48;96,58
03/Jan/2019;EUR;4,83;7.312.033,00;35.307.857,29;96,56;96,67
02/Jan/2019;EUR;4,84;7.212.033,00;34.926.700,88;96,85;96,98
31/Dec/2018;EUR;4,85;7.212.033,00;34.963.849,96;96,95;97,07
28/Dec/2018;EUR;4,85;7.212.033,00;34.960.549,77;96,94;97,04
27/Dec/2018;EUR;4,85;7.212.033,00;34.958.777,83;96,94;97,04
24/Dec/2018;EUR;4,85;7.212.033,00;34.958.874,62;96,94;97,04
21/Dec/2018;EUR;4,85;7.042.033,00;34.134.782,17;96,94;97,02
20/Dec/2018;EUR;4,85;8.077.218,00;39.207.141,68;97,07;97,17
19/Dec/2018;EUR;4,86;8.074.909,00;39.241.152,71;97,18;97,31
18/Dec/2018;EUR;4,86;8.074.909,00;39.232.642,90;97,16;97,28
17/Dec/2018;EUR;4,86;8.074.909,00;39.279.941,62;97,28;97,40
14/Dec/2018;EUR;4,87;8.049.078,00;39.175.115,52;97,33;97,43
13/Dec/2018;EUR;4,86;8.239.078,00;40.071.009,08;97,26;97,36
12/Dec/2018;EUR;4,84;8.239.078,00;39.894.263,03;96,83;96,95
11/Dec/2018;EUR;4,83;8.239.078,00;39.770.318,06;96,53;96,64
10/Dec/2018;EUR;4,83;8.982.705,00;43.386.515,15;96,59;96,70
07/Dec/2018;EUR;4,85;9.312.081,00;45.120.590,41;96,90;96,99
06/Dec/2018;EUR;4,85;10.341.387,00;50.158.545,71;97,00;97,09
05/Dec/2018;EUR;4,86;10.341.387,00;50.285.037,06;97,24;97,36
04/Dec/2018;EUR;4,88;10.547.248,00;51.432.824,96;97,52;97,64
03/Dec/2018;EUR;4,89;11.837.248,00;57.842.829,10;97,72;97,84
30/Nov/2018;EUR;4,87;11.837.248,00;57.693.768,52;97,47;97,56
29/Nov/2018;EUR;4,88;9.778.635,00;47.671.774,21;97,49;97,58
28/Nov/2018;EUR;4,88;11.322.587,00;55.197.841,53;97,49;97,60
27/Nov/2018;EUR;4,88;11.402.587,00;55.636.564,24;97,58;97,69
26/Nov/2018;EUR;4,89;11.618.741,00;56.833.369,51;97,82;97,92
23/Nov/2018;EUR;4,89;11.001.160,00;53.817.751,97;97,83;97,91
22/Nov/2018;EUR;4,90;11.001.160,00;53.858.214,67;97,90;97,98
21/Nov/2018;EUR;4,89;12.031.160,00;58.799.754,23;97,74;97,83
20/Nov/2018;EUR;4,87;12.031.160,00;58.608.486,13;97,42;97,52
19/Nov/2018;EUR;4,89;12.010.574,00;58.767.045,02;97,85;97,95
16/Nov/2018;EUR;4,91;10.510.574,00;51.646.658,01;98,27;98,34
15/Nov/2018;EUR;4,94;10.510.574,00;51.882.515,06;98,71;98,79
14/Nov/2018;EUR;4,95;10.830.574,00;53.654.551,86;99,07;99,17
13/Nov/2018;EUR;4,97;10.830.574,00;53.778.188,62;99,30;99,40
12/Nov/2018;EUR;4,98;10.830.574,00;53.926.071,99;99,57;99,67
09/Nov/2018;EUR;4,99;10.830.574,00;54.053.786,78;99,81;99,88
08/Nov/2018;EUR;5,00;10.830.574,00;54.119.272,00;99,93;100,00
07/Nov/2018;EUR;4,99;10.830.574,00;54.068.903,41;99,83;99,93
06/Nov/2018;EUR;4,99;10.830.574,00;53.996.000,36;99,70;99,79
05/Nov/2018;EUR;4,98;10.830.574,00;53.981.942,06;99,67;99,77
02/Nov/2018;EUR;4,98;10.830.574,00;53.974.997,40;99,66;99,73
01/Nov/2018;EUR;4,98;10.830.574,00;53.883.097,03;99,49;99,55
31/Oct/2018;EUR;4,97;11.551.090,00;57.391.391,85;99,36;99,47
30/Oct/2018;EUR;4,97;11.551.090,00;57.353.582,17;99,29;99,41
29/Oct/2018;EUR;4,97;10.004.206,00;49.670.980,46;99,29;99,40
26/Oct/2018;EUR;4,96;12.062.796,00;59.857.093,85;99,23;99,32
25/Oct/2018;EUR;4,97;12.062.796,00;59.978.373,70;99,43;99,52
24/Oct/2018;EUR;4,98;12.062.796,00;60.072.757,67;99,59;99,69
23/Oct/2018;EUR;4,99;11.862.796,00;59.136.104,50;99,69;99,79
22/Oct/2018;EUR;4,99;11.837.796,00;59.110.101,91;99,86;99,96
19/Oct/2018;EUR;4,99;11.837.796,00;59.083.445,17;99,81;99,89
18/Oct/2018;EUR;5,00;11.787.796,00;58.971.297,80;100,04;100,12
17/Oct/2018;EUR;5,01;11.787.796,00;59.010.381,58;100,11;100,22
16/Oct/2018;EUR;5,00;12.687.796,00;63.495.685,21;100,08;100,18
15/Oct/2018;EUR;5,00;12.687.796,00;63.478.295,84;100,05;100,16
12/Oct/2018;EUR;5,01;12.887.796,00;64.506.573,12;100,09;100,18
11/Oct/2018;EUR;5,00;12.887.796,00;64.405.851,53;99,94;100,02
10/Oct/2018;EUR;5,01;12.887.796,00;64.600.107,01;100,24;100,34
09/Oct/2018;EUR;5,01;12.787.796,00;64.127.396,78;100,28;100,39
08/Oct/2018;EUR;5,02;12.787.796,00;64.219.327,46;100,43;100,53
05/Oct/2018;EUR;5,03;12.787.796,00;64.278.359,85;100,52;100,60
04/Oct/2018;EUR;5,03;12.787.796,00;64.317.714,20;100,58;100,65
03/Oct/2018;EUR;5,03;12.787.796,00;64.310.797,93;100,57;100,66
02/Oct/2018;EUR;5,02;12.287.796,00;61.738.798,26;100,48;100,57
01/Oct/2018;EUR;5,03;12.287.796,00;61.756.183,48;100,51;100,60
30/Sept/2018;EUR;5,02;--;--;--;--
28/Sept/2018;EUR;5,02;12.287.796,00;61.689.133,95;100,40;100,47
27/Sept/2018;EUR;5,03;12.287.796,00;61.785.066,55;100,55;100,63
26/Sept/2018;EUR;5,03;12.287.796,00;61.811.148,18;100,60;100,69
25/Sept/2018;EUR;5,03;12.287.796,00;61.847.153,09;100,65;100,75
24/Sept/2018;EUR;5,03;12.287.796,00;61.855.212,40;100,67;100,76
21/Sept/2018;EUR;5,04;12.287.796,00;61.877.253,03;100,70;100,77
20/Sept/2018;EUR;5,03;10.287.796,00;51.788.567,52;100,67;100,74
19/Sept/2018;EUR;5,03;9.787.796,00;49.226.056,84;100,58;100,67
18/Sept/2018;EUR;5,03;9.562.796,00;48.055.124,23;100,49;100,57
17/Sept/2018;EUR;5,02;9.562.796,00;48.026.217,47;100,43;100,52
14/Sept/2018;EUR;5,02;9.562.796,00;47.985.050,67;100,35;100,41
13/Sept/2018;EUR;5,02;9.562.796,00;47.958.042,93;100,29;100,35
12/Sept/2018;EUR;5,01;9.562.796,00;47.927.480,80;100,23;100,31
11/Sept/2018;EUR;5,01;9.562.796,00;47.934.099,57;100,24;100,32
10/Sept/2018;EUR;5,01;8.624.599,00;43.196.015,37;100,16;100,24
07/Sept/2018;EUR;5,00;8.124.599,00;40.657.621,38;100,07;100,13
06/Sept/2018;EUR;5,00;8.124.599,00;40.653.950,96;100,07;100,13
05/Sept/2018;EUR;5,01;8.124.599,00;40.665.723,68;100,09;100,18
04/Sept/2018;EUR;5,01;8.124.599,00;40.691.836,30;100,16;100,24
03/Sept/2018;EUR;5,01;8.124.599,00;40.710.168,57;100,20;100,29
31/Aug/2018;EUR;5,02;8.124.599,00;40.745.089,82;100,29;100,35
30/Aug/2018;EUR;5,02;7.985.273,00;40.092.700,14;100,41;100,47
29/Aug/2018;EUR;5,03;7.985.273,00;40.131.094,90;100,50;100,58
28/Aug/2018;EUR;5,03;5.037.524,00;25.317.011,52;100,50;100,58
24/Aug/2018;EUR;5,03;6.239.989,00;31.359.780,51;100,50;100,54
23/Aug/2018;EUR;5,03;6.239.989,00;31.359.422,75;100,50;100,54
22/Aug/2018;EUR;5,02;6.239.989,00;31.351.311,84;100,47;100,55
21/Aug/2018;EUR;5,02;6.072.350,00;30.488.495,03;100,41;100,48
20/Aug/2018;EUR;5,02;6.072.350,00;30.467.967,51;100,34;100,41
17/Aug/2018;EUR;5,02;6.072.350,00;30.464.012,77;100,33;100,37
16/Aug/2018;EUR;5,02;6.072.350,00;30.453.347,34;100,29;100,33
15/Aug/2018;EUR;5,01;5.024.605,00;25.196.756,18;100,28;100,34
14/Aug/2018;EUR;5,02;5.674.212,00;28.457.266,01;100,29;100,35
13/Aug/2018;EUR;5,02;5.674.212,00;28.459.808,87;100,30;100,36
10/Aug/2018;EUR;5,02;5.674.212,00;28.504.897,81;100,46;100,50
09/Aug/2018;EUR;5,03;5.314.212,00;26.718.228,96;100,54;100,58
08/Aug/2018;EUR;5,03;5.314.212,00;26.705.825,58;100,50;100,56
07/Aug/2018;EUR;5,02;5.314.212,00;26.698.107,30;100,47;100,52
06/Aug/2018;EUR;5,02;5.314.212,00;26.680.791,20;100,40;100,46
03/Aug/2018;EUR;5,02;5.314.212,00;26.670.008,42;100,36;100,39
02/Aug/2018;EUR;5,02;5.314.212,00;26.668.580,17;100,36;100,39
01/Aug/2018;EUR;5,02;5.314.212,00;26.668.912,23;100,36;100,41
31/Jul/2018;EUR;5,01;5.314.212,00;26.644.565,37;100,27;100,33
30/Jul/2018;EUR;5,01;5.214.212,00;26.132.355,70;100,22;100,30
27/Jul/2018;EUR;5,01;5.421.282,00;27.175.219,61;100,24;100,29
26/Jul/2018;EUR;5,01;5.638.909,00;28.243.371,49;100,16;100,21
25/Jul/2018;EUR;5,00;5.638.909,00;28.219.530,57;100,08;100,15
24/Jul/2018;EUR;5,00;5.638.909,00;28.209.267,88;100,04;100,12
23/Jul/2018;EUR;5,00;5.638.909,00;28.194.998,32;99,99;100,06
20/Jul/2018;EUR;5,00;5.638.909,00;28.202.077,14;100,02;100,06
19/Jul/2018;EUR;5,00;5.638.909,00;28.219.393,96;100,08;100,12
18/Jul/2018;EUR;5,00;5.638.909,00;28.217.026,72;100,07;100,14
17/Jul/2018;EUR;5,00;4.288.909,00;21.449.433,75;100,01;100,08
16/Jul/2018;EUR;5,00;4.288.909,00;21.444.514,47;99,99;100,06
13/Jul/2018;EUR;5,00;4.288.909,00;21.432.050,13;99,93;99,97
12/Jul/2018;EUR;4,99;4.288.909,00;21.409.879,92;99,83;99,87
11/Jul/2018;EUR;4,99;4.288.909,00;21.393.221,10;99,75;99,81
10/Jul/2018;EUR;4,99;4.288.909,00;21.406.295,69;99,81;99,87
09/Jul/2018;EUR;4,98;4.288.909,00;21.372.443,04;99,65;99,71
06/Jul/2018;EUR;4,98;4.288.909,00;21.342.172,73;99,51;99,54
05/Jul/2018;EUR;4,97;4.288.909,00;21.310.687,28;99,37;99,39
04/Jul/2018;EUR;4,96;4.288.909,00;21.258.858,78;99,12;99,16
03/Jul/2018;EUR;4,95;4.288.909,00;21.245.430,28;99,06;99,09
02/Jul/2018;EUR;4,94;4.288.909,00;21.185.965,76;98,78;98,81
30/Jun/2018;EUR;4,94;--;--;--;--
29/Jun/2018;EUR;4,94;4.288.909,00;21.205.847,79;98,88;98,90
28/Jun/2018;EUR;4,94;6.910.971,00;34.164.524,28;98,86;98,88
27/Jun/2018;EUR;4,95;6.910.971,00;34.241.950,00;99,08;99,13
26/Jun/2018;EUR;4,96;6.910.971,00;34.310.258,15;99,28;99,32
25/Jun/2018;EUR;4,98;6.910.971,00;34.384.414,41;99,50;99,54
22/Jun/2018;EUR;4,98;6.910.971,00;34.445.637,51;99,67;99,69
21/Jun/2018;EUR;4,99;6.910.971,00;34.464.394,79;99,73;99,74
20/Jun/2018;EUR;4,99;6.970.971,00;34.789.973,12;99,80;99,84
19/Jun/2018;EUR;4,99;6.970.971,00;34.775.387,78;99,76;99,80
18/Jun/2018;EUR;4,99;7.120.971,00;35.560.787,50;99,87;99,90
15/Jun/2018;EUR;5,00;7.120.971,00;35.581.846,91;99,92;99,93
14/Jun/2018;EUR;4,99;7.120.971,00;35.539.021,56;99,80;99,81
13/Jun/2018;EUR;4,98;7.120.971,00;35.496.551,10;99,69;99,72
12/Jun/2018;EUR;4,98;7.120.971,00;35.480.003,77;99,64;99,67
11/Jun/2018;EUR;4,98;7.120.971,00;35.449.641,82;99,55;99,58
08/Jun/2018;EUR;4,98;7.120.971,00;35.433.915,88;99,51;99,52
07/Jun/2018;EUR;4,98;7.120.971,00;35.492.289,03;99,67;99,68
06/Jun/2018;EUR;4,98;7.120.971,00;35.490.924,87;99,67;99,70
05/Jun/2018;EUR;4,99;7.090.971,00;35.399.568,93;99,83;99,86
04/Jun/2018;EUR;4,99;6.590.971,00;32.872.428,66;99,74;99,76
01/Jun/2018;EUR;4,98;6.590.971,00;32.799.045,84;99,52;99,51
