As Of;Currency;NAV;Securities In Issue;Net Assets;Fund Return Series;Benchmark Return Series
23/Aug/2021;EUR;5,52;85.232.540,00;470.588.819,89;110,41;111,70
20/Aug/2021;EUR;5,52;85.232.540,00;470.585.553,64;110,41;111,68
19/Aug/2021;EUR;5,52;84.863.172,00;468.598.571,96;110,42;111,69
18/Aug/2021;EUR;5,52;84.863.172,00;468.749.615,32;110,46;111,74
17/Aug/2021;EUR;5,52;82.135.320,00;453.658.629,15;110,45;111,73
16/Aug/2021;EUR;5,52;82.135.320,00;453.682.601,47;110,46;111,74
13/Aug/2021;EUR;5,52;84.762.575,00;468.227.827,11;110,47;111,72
12/Aug/2021;EUR;5,52;81.962.575,00;452.751.496,24;110,47;111,72
11/Aug/2021;EUR;5,52;78.412.575,00;433.028.877,93;110,44;111,71
10/Aug/2021;EUR;5,52;77.474.264,00;427.859.524,76;110,44;111,71
09/Aug/2021;EUR;5,52;81.828.011,00;451.921.231,04;110,44;111,71
06/Aug/2021;EUR;5,52;82.672.495,00;456.583.819,34;110,44;111,69
05/Aug/2021;EUR;5,52;82.672.495,00;456.496.505,32;110,42;111,67
04/Aug/2021;EUR;5,52;82.622.495,00;455.843.778,52;110,33;111,59
03/Aug/2021;EUR;5,51;69.422.495,00;382.730.434,81;110,25;111,51
02/Aug/2021;EUR;5,51;74.985.694,00;413.141.372,90;110,18;111,43
30/Jul/2021;EUR;5,51;80.615.483,00;443.963.169,85;110,13;111,39
29/Jul/2021;EUR;5,51;80.501.837,00;443.167.315,23;110,09;111,34
28/Jul/2021;EUR;5,50;80.501.837,00;442.851.357,87;110,01;111,28
27/Jul/2021;EUR;5,50;80.501.837,00;442.793.524,33;110,00;111,27
26/Jul/2021;EUR;5,50;80.501.837,00;442.787.235,94;110,00;111,25
23/Jul/2021;EUR;5,50;80.201.837,00;441.070.960,98;109,98;111,21
22/Jul/2021;EUR;5,50;80.201.837,00;440.896.200,25;109,94;111,17
21/Jul/2021;EUR;5,49;79.230.390,00;435.222.611,64;109,85;111,11
20/Jul/2021;EUR;5,49;78.430.390,00;430.761.596,42;109,83;111,09
19/Jul/2021;EUR;5,50;77.030.390,00;423.308.338,64;109,90;111,15
16/Jul/2021;EUR;5,50;77.030.390,00;423.594.196,37;109,97;111,19
15/Jul/2021;EUR;5,50;77.528.351,00;426.321.669,28;109,97;111,19
14/Jul/2021;EUR;5,50;77.528.351,00;426.183.246,67;109,93;111,17
13/Jul/2021;EUR;5,50;79.404.963,00;436.438.228,89;109,92;111,16
12/Jul/2021;EUR;5,50;79.495.646,00;436.868.619,37;109,90;111,14
09/Jul/2021;EUR;5,50;79.495.646,00;436.837.945,33;109,89;111,11
08/Jul/2021;EUR;5,50;72.919.186,00;400.717.843,05;109,90;111,11
07/Jul/2021;EUR;5,50;78.548.990,00;431.718.311,92;109,91;111,15
06/Jul/2021;EUR;5,50;74.411.329,00;408.902.756,93;109,89;111,12
05/Jul/2021;EUR;5,49;73.461.329,00;403.610.038,27;109,87;111,10
02/Jul/2021;EUR;5,49;73.461.329,00;403.570.755,45;109,86;111,07
01/Jul/2021;EUR;5,49;73.141.329,00;401.726.405,13;109,84;111,04
30/Jun/2021;EUR;5,49;76.984.587,00;422.816.170,47;109,83;111,07
29/Jun/2021;EUR;5,49;76.713.820,00;421.400.435,09;109,85;111,09
28/Jun/2021;EUR;5,49;76.338.628,00;419.348.094,27;109,85;111,09
25/Jun/2021;EUR;5,49;73.538.628,00;403.981.794,78;109,86;111,07
24/Jun/2021;EUR;5,49;72.332.528,00;397.309.745,20;109,85;111,06
23/Jun/2021;EUR;5,49;72.332.528,00;397.215.077,64;109,82;111,05
22/Jun/2021;EUR;5,49;74.720.772,00;410.237.501,52;109,79;111,02
21/Jun/2021;EUR;5,49;74.720.772,00;410.374.525,14;109,83;111,06
18/Jun/2021;EUR;5,50;75.170.900,00;413.129.447,95;109,91;111,11
17/Jun/2021;EUR;5,50;75.170.900,00;413.151.006,93;109,91;111,12
16/Jun/2021;EUR;5,50;74.370.900,00;409.147.982,50;110,02;111,24
15/Jun/2021;EUR;5,50;74.370.900,00;409.221.922,00;110,04;111,26
14/Jun/2021;EUR;5,50;72.420.900,00;398.422.939,79;110,02;111,24
11/Jun/2021;EUR;5,50;72.420.900,00;398.250.655,71;109,97;111,16
10/Jun/2021;EUR;5,49;70.420.900,00;386.893.646,46;109,87;111,06
09/Jun/2021;EUR;5,49;73.308.676,00;402.508.692,47;109,80;111,01
08/Jun/2021;EUR;5,49;77.164.012,00;423.324.611,53;109,71;110,92
07/Jun/2021;EUR;5,48;77.164.012,00;423.107.810,60;109,65;110,86
04/Jun/2021;EUR;5,48;75.164.012,00;411.961.231,46;109,61;110,79
03/Jun/2021;EUR;5,48;75.370.441,00;413.006.223,54;109,58;110,76
02/Jun/2021;EUR;5,48;75.370.441,00;412.700.794,27;109,50;110,70
01/Jun/2021;EUR;5,47;75.392.432,00;412.361.400,92;109,38;110,57
31/May/2021;EUR;5,46;75.392.432,00;411.954.895,14;109,27;110,48
28/May/2021;EUR;5,46;75.244.769,00;411.040.394,96;109,24;110,43
