As Of;Currency;NAV
16/Apr/2018;EUR;211,47
13/Apr/2018;EUR;211,59
12/Apr/2018;EUR;211,38
11/Apr/2018;EUR;211,71
10/Apr/2018;EUR;211,23
09/Apr/2018;EUR;211,47
06/Apr/2018;EUR;211,56
05/Apr/2018;EUR;211,39
04/Apr/2018;EUR;211,92
03/Apr/2018;EUR;211,63
31/Mar/2018;EUR;211,62
30/Mar/2018;EUR;211,62
29/Mar/2018;EUR;211,62
28/Mar/2018;EUR;211,33
27/Mar/2018;EUR;211,23
26/Mar/2018;EUR;210,79
23/Mar/2018;EUR;210,81
22/Mar/2018;EUR;210,64
21/Mar/2018;EUR;209,74
20/Mar/2018;EUR;209,82
19/Mar/2018;EUR;209,52
16/Mar/2018;EUR;209,40
15/Mar/2018;EUR;209,29
14/Mar/2018;EUR;209,24
13/Mar/2018;EUR;209,21
12/Mar/2018;EUR;209,20
09/Mar/2018;EUR;209,01
08/Mar/2018;EUR;209,43
07/Mar/2018;EUR;208,93
06/Mar/2018;EUR;208,39
05/Mar/2018;EUR;208,75
02/Mar/2018;EUR;208,89
01/Mar/2018;EUR;209,14
28/Feb/2018;EUR;208,99
27/Feb/2018;EUR;208,78
26/Feb/2018;EUR;208,94
23/Feb/2018;EUR;208,69
22/Feb/2018;EUR;208,07
21/Feb/2018;EUR;207,95
20/Feb/2018;EUR;208,00
19/Feb/2018;EUR;208,15
16/Feb/2018;EUR;208,77
15/Feb/2018;EUR;208,34
14/Feb/2018;EUR;208,26
13/Feb/2018;EUR;208,09
12/Feb/2018;EUR;208,53
09/Feb/2018;EUR;208,46
08/Feb/2018;EUR;208,73
07/Feb/2018;EUR;209,20
06/Feb/2018;EUR;209,02
05/Feb/2018;EUR;208,48
02/Feb/2018;EUR;208,26
01/Feb/2018;EUR;208,80
31/Jan/2018;EUR;208,31
30/Jan/2018;EUR;207,94
29/Jan/2018;EUR;207,87
26/Jan/2018;EUR;208,47
25/Jan/2018;EUR;208,95
24/Jan/2018;EUR;209,51
23/Jan/2018;EUR;209,74
22/Jan/2018;EUR;209,64
19/Jan/2018;EUR;209,45
18/Jan/2018;EUR;209,36
17/Jan/2018;EUR;209,55
16/Jan/2018;EUR;209,73
15/Jan/2018;EUR;209,15
12/Jan/2018;EUR;209,24
11/Jan/2018;EUR;208,64
10/Jan/2018;EUR;209,02
09/Jan/2018;EUR;208,94
08/Jan/2018;EUR;209,47
05/Jan/2018;EUR;209,31
04/Jan/2018;EUR;209,43
03/Jan/2018;EUR;209,21
02/Jan/2018;EUR;208,81
29/Dec/2017;EUR;209,48
28/Dec/2017;EUR;209,92
27/Dec/2017;EUR;210,66
22/Dec/2017;EUR;210,30
21/Dec/2017;EUR;210,16
20/Dec/2017;EUR;210,07
19/Dec/2017;EUR;210,88
18/Dec/2017;EUR;212,24
15/Dec/2017;EUR;211,90
14/Dec/2017;EUR;211,67
13/Dec/2017;EUR;211,56
12/Dec/2017;EUR;211,94
11/Dec/2017;EUR;212,26
08/Dec/2017;EUR;212,25
07/Dec/2017;EUR;212,15
06/Dec/2017;EUR;212,04
05/Dec/2017;EUR;211,75
04/Dec/2017;EUR;211,48
01/Dec/2017;EUR;211,84
30/Nov/2017;EUR;210,81
29/Nov/2017;EUR;210,17
28/Nov/2017;EUR;210,51
27/Nov/2017;EUR;210,40
24/Nov/2017;EUR;210,03
23/Nov/2017;EUR;210,35
22/Nov/2017;EUR;210,22
21/Nov/2017;EUR;210,21
20/Nov/2017;EUR;209,86
17/Nov/2017;EUR;209,62
16/Nov/2017;EUR;209,46
15/Nov/2017;EUR;209,48
14/Nov/2017;EUR;209,48
13/Nov/2017;EUR;209,29
10/Nov/2017;EUR;209,25
09/Nov/2017;EUR;209,58
08/Nov/2017;EUR;210,42
07/Nov/2017;EUR;210,36
06/Nov/2017;EUR;209,37
03/Nov/2017;EUR;209,09
02/Nov/2017;EUR;209,00
01/Nov/2017;EUR;208,96
31/Oct/2017;EUR;208,88
30/Oct/2017;EUR;208,62
27/Oct/2017;EUR;207,94
26/Oct/2017;EUR;207,30
25/Oct/2017;EUR;206,75
24/Oct/2017;EUR;206,62
23/Oct/2017;EUR;207,09
20/Oct/2017;EUR;206,58
19/Oct/2017;EUR;207,13
18/Oct/2017;EUR;207,18
17/Oct/2017;EUR;207,85
16/Oct/2017;EUR;207,66
13/Oct/2017;EUR;207,19
12/Oct/2017;EUR;206,45
11/Oct/2017;EUR;206,17
10/Oct/2017;EUR;206,08
09/Oct/2017;EUR;206,23
06/Oct/2017;EUR;205,89
05/Oct/2017;EUR;205,96
04/Oct/2017;EUR;205,51
03/Oct/2017;EUR;205,63
02/Oct/2017;EUR;205,75
29/Sept/2017;EUR;205,90
28/Sept/2017;EUR;205,76
27/Sept/2017;EUR;205,60
26/Sept/2017;EUR;205,93
25/Sept/2017;EUR;205,97
22/Sept/2017;EUR;205,49
21/Sept/2017;EUR;205,47
20/Sept/2017;EUR;205,72
19/Sept/2017;EUR;205,73
18/Sept/2017;EUR;205,50
15/Sept/2017;EUR;205,62
14/Sept/2017;EUR;205,80
13/Sept/2017;EUR;206,11
12/Sept/2017;EUR;206,23
11/Sept/2017;EUR;206,82
08/Sept/2017;EUR;206,92
07/Sept/2017;EUR;207,35
06/Sept/2017;EUR;206,79
05/Sept/2017;EUR;207,01
04/Sept/2017;EUR;206,40
01/Sept/2017;EUR;206,22
31/Aug/2017;EUR;206,62
30/Aug/2017;EUR;206,48
29/Aug/2017;EUR;206,52
25/Aug/2017;EUR;206,00
24/Aug/2017;EUR;205,90
23/Aug/2017;EUR;205,91
22/Aug/2017;EUR;205,77
21/Aug/2017;EUR;206,30
18/Aug/2017;EUR;206,32
17/Aug/2017;EUR;205,98
16/Aug/2017;EUR;205,60
15/Aug/2017;EUR;205,56
14/Aug/2017;EUR;206,17
11/Aug/2017;EUR;206,35
10/Aug/2017;EUR;206,42
09/Aug/2017;EUR;206,33
08/Aug/2017;EUR;206,05
07/Aug/2017;EUR;206,33
04/Aug/2017;EUR;206,03
03/Aug/2017;EUR;206,41
02/Aug/2017;EUR;206,12
01/Aug/2017;EUR;206,08
31/Jul/2017;EUR;205,05
28/Jul/2017;EUR;204,70
27/Jul/2017;EUR;204,58
26/Jul/2017;EUR;204,08
25/Jul/2017;EUR;203,86
24/Jul/2017;EUR;204,50
21/Jul/2017;EUR;204,52
20/Jul/2017;EUR;204,29
19/Jul/2017;EUR;203,96
18/Jul/2017;EUR;203,54
17/Jul/2017;EUR;203,09
14/Jul/2017;EUR;202,85
13/Jul/2017;EUR;202,99
12/Jul/2017;EUR;203,50
11/Jul/2017;EUR;202,50
10/Jul/2017;EUR;202,90
07/Jul/2017;EUR;202,04
06/Jul/2017;EUR;202,20
05/Jul/2017;EUR;203,61
04/Jul/2017;EUR;203,74
03/Jul/2017;EUR;203,37
30/Jun/2017;EUR;203,51
29/Jun/2017;EUR;203,53
28/Jun/2017;EUR;204,47
27/Jun/2017;EUR;204,51
26/Jun/2017;EUR;205,74
23/Jun/2017;EUR;205,32
22/Jun/2017;EUR;205,08
21/Jun/2017;EUR;204,95
20/Jun/2017;EUR;205,00
19/Jun/2017;EUR;204,92
16/Jun/2017;EUR;204,82
15/Jun/2017;EUR;204,73
14/Jun/2017;EUR;205,69
13/Jun/2017;EUR;205,56
12/Jun/2017;EUR;205,29
09/Jun/2017;EUR;204,63
08/Jun/2017;EUR;204,56
07/Jun/2017;EUR;203,95
06/Jun/2017;EUR;204,44
05/Jun/2017;EUR;203,98
02/Jun/2017;EUR;204,04
01/Jun/2017;EUR;203,61
31/May/2017;EUR;204,04
30/May/2017;EUR;204,29
26/May/2017;EUR;204,40
25/May/2017;EUR;204,23
24/May/2017;EUR;203,89
23/May/2017;EUR;204,03
22/May/2017;EUR;203,69
19/May/2017;EUR;203,94
18/May/2017;EUR;203,85
17/May/2017;EUR;203,60
16/May/2017;EUR;203,14
15/May/2017;EUR;202,82
12/May/2017;EUR;203,22
11/May/2017;EUR;202,97
10/May/2017;EUR;203,51
09/May/2017;EUR;202,82
08/May/2017;EUR;203,17
05/May/2017;EUR;203,78
04/May/2017;EUR;203,89
03/May/2017;EUR;204,20
02/May/2017;EUR;203,91
28/Apr/2017;EUR;203,58
27/Apr/2017;EUR;203,33
26/Apr/2017;EUR;202,33
25/Apr/2017;EUR;202,44
24/Apr/2017;EUR;203,28
21/Apr/2017;EUR;201,96
20/Apr/2017;EUR;202,07
19/Apr/2017;EUR;202,16
18/Apr/2017;EUR;202,21
13/Apr/2017;EUR;202,09
12/Apr/2017;EUR;202,24
