As Of;Currency;NAV
23/Dec/2021;EUR;240,26
22/Dec/2021;EUR;241,25
21/Dec/2021;EUR;240,11
20/Dec/2021;EUR;240,64
17/Dec/2021;EUR;240,91
16/Dec/2021;EUR;240,31
15/Dec/2021;EUR;240,21
14/Dec/2021;EUR;240,35
13/Dec/2021;EUR;240,99
10/Dec/2021;EUR;240,04
09/Dec/2021;EUR;239,73
08/Dec/2021;EUR;238,95
07/Dec/2021;EUR;240,50
06/Dec/2021;EUR;239,91
03/Dec/2021;EUR;239,69
02/Dec/2021;EUR;238,94
01/Dec/2021;EUR;238,41
30/Nov/2021;EUR;238,74
29/Nov/2021;EUR;238,01
26/Nov/2021;EUR;237,25
25/Nov/2021;EUR;237,28
24/Nov/2021;EUR;235,73
23/Nov/2021;EUR;236,65
22/Nov/2021;EUR;238,72
19/Nov/2021;EUR;240,09
18/Nov/2021;EUR;240,26
17/Nov/2021;EUR;240,39
16/Nov/2021;EUR;240,38
15/Nov/2021;EUR;239,84
12/Nov/2021;EUR;239,91
11/Nov/2021;EUR;240,00
10/Nov/2021;EUR;240,15
09/Nov/2021;EUR;240,91
08/Nov/2021;EUR;240,28
05/Nov/2021;EUR;239,54
04/Nov/2021;EUR;237,53
03/Nov/2021;EUR;235,90
02/Nov/2021;EUR;236,49
01/Nov/2021;EUR;235,37
29/Oct/2021;EUR;235,13
28/Oct/2021;EUR;239,34
27/Oct/2021;EUR;241,31
26/Oct/2021;EUR;240,76
25/Oct/2021;EUR;240,22
22/Oct/2021;EUR;239,37
21/Oct/2021;EUR;238,40
20/Oct/2021;EUR;237,41
19/Oct/2021;EUR;237,43
18/Oct/2021;EUR;238,38
15/Oct/2021;EUR;237,89
14/Oct/2021;EUR;237,37
13/Oct/2021;EUR;236,56
12/Oct/2021;EUR;236,07
11/Oct/2021;EUR;235,88
08/Oct/2021;EUR;236,12
07/Oct/2021;EUR;236,31
06/Oct/2021;EUR;236,42
05/Oct/2021;EUR;237,46
04/Oct/2021;EUR;236,35
01/Oct/2021;EUR;236,18
30/Sept/2021;EUR;235,23
29/Sept/2021;EUR;235,79
28/Sept/2021;EUR;235,82
27/Sept/2021;EUR;235,62
24/Sept/2021;EUR;234,93
23/Sept/2021;EUR;235,81
22/Sept/2021;EUR;236,39
21/Sept/2021;EUR;236,10
20/Sept/2021;EUR;235,73
17/Sept/2021;EUR;235,97
16/Sept/2021;EUR;236,10
15/Sept/2021;EUR;236,19
14/Sept/2021;EUR;236,60
13/Sept/2021;EUR;237,22
10/Sept/2021;EUR;236,83
09/Sept/2021;EUR;236,89
08/Sept/2021;EUR;235,65
07/Sept/2021;EUR;235,32
06/Sept/2021;EUR;236,44
03/Sept/2021;EUR;235,22
02/Sept/2021;EUR;234,94
01/Sept/2021;EUR;234,16
31/Aug/2021;EUR;234,42
27/Aug/2021;EUR;235,03
26/Aug/2021;EUR;234,72
25/Aug/2021;EUR;235,09
24/Aug/2021;EUR;236,12
23/Aug/2021;EUR;235,81
20/Aug/2021;EUR;235,87
19/Aug/2021;EUR;235,87
18/Aug/2021;EUR;236,19
17/Aug/2021;EUR;236,01
16/Aug/2021;EUR;236,00
13/Aug/2021;EUR;236,25
12/Aug/2021;EUR;236,26
11/Aug/2021;EUR;235,61
10/Aug/2021;EUR;235,63
09/Aug/2021;EUR;234,92
06/Aug/2021;EUR;235,05
05/Aug/2021;EUR;235,72
04/Aug/2021;EUR;235,39
03/Aug/2021;EUR;235,51
02/Aug/2021;EUR;235,49
30/Jul/2021;EUR;235,13
29/Jul/2021;EUR;234,80
28/Jul/2021;EUR;233,80
27/Jul/2021;EUR;233,54
26/Jul/2021;EUR;232,86
23/Jul/2021;EUR;232,49
22/Jul/2021;EUR;232,04
21/Jul/2021;EUR;231,61
20/Jul/2021;EUR;231,39
19/Jul/2021;EUR;231,02
16/Jul/2021;EUR;231,31
15/Jul/2021;EUR;230,79
14/Jul/2021;EUR;230,57
13/Jul/2021;EUR;230,36
12/Jul/2021;EUR;229,97
09/Jul/2021;EUR;229,97
08/Jul/2021;EUR;229,80
07/Jul/2021;EUR;230,44
06/Jul/2021;EUR;230,56
05/Jul/2021;EUR;229,48
02/Jul/2021;EUR;229,62
01/Jul/2021;EUR;229,00
30/Jun/2021;EUR;228,77
29/Jun/2021;EUR;228,20
28/Jun/2021;EUR;227,82
25/Jun/2021;EUR;227,26
24/Jun/2021;EUR;227,98
23/Jun/2021;EUR;227,68
22/Jun/2021;EUR;227,55
21/Jun/2021;EUR;227,11
18/Jun/2021;EUR;227,38
17/Jun/2021;EUR;228,21
16/Jun/2021;EUR;229,52
15/Jun/2021;EUR;229,64
14/Jun/2021;EUR;229,95
11/Jun/2021;EUR;230,33
10/Jun/2021;EUR;229,51
09/Jun/2021;EUR;229,49
08/Jun/2021;EUR;228,85
07/Jun/2021;EUR;228,82
04/Jun/2021;EUR;229,09
03/Jun/2021;EUR;228,46
02/Jun/2021;EUR;227,98
01/Jun/2021;EUR;228,34
31/May/2021;EUR;228,21
28/May/2021;EUR;227,94
27/May/2021;EUR;227,01
26/May/2021;EUR;227,53
25/May/2021;EUR;227,39
24/May/2021;EUR;226,58
21/May/2021;EUR;226,14
20/May/2021;EUR;225,60
19/May/2021;EUR;225,79
18/May/2021;EUR;226,57
17/May/2021;EUR;226,15
14/May/2021;EUR;226,01
13/May/2021;EUR;226,64
12/May/2021;EUR;227,08
11/May/2021;EUR;226,79
10/May/2021;EUR;227,22
07/May/2021;EUR;226,67
06/May/2021;EUR;226,75
05/May/2021;EUR;226,83
04/May/2021;EUR;226,82
30/Apr/2021;EUR;226,57
29/Apr/2021;EUR;226,60
28/Apr/2021;EUR;226,78
27/Apr/2021;EUR;226,61
26/Apr/2021;EUR;226,59
23/Apr/2021;EUR;226,86
22/Apr/2021;EUR;227,12
21/Apr/2021;EUR;227,40
20/Apr/2021;EUR;227,14
19/Apr/2021;EUR;226,97
16/Apr/2021;EUR;226,98
15/Apr/2021;EUR;227,65
14/Apr/2021;EUR;227,44
13/Apr/2021;EUR;227,90
12/Apr/2021;EUR;228,06
09/Apr/2021;EUR;228,15
08/Apr/2021;EUR;228,90
07/Apr/2021;EUR;228,58
06/Apr/2021;EUR;228,54
01/Apr/2021;EUR;228,90
31/Mar/2021;EUR;228,07
30/Mar/2021;EUR;227,52
29/Mar/2021;EUR;227,83
26/Mar/2021;EUR;228,42
25/Mar/2021;EUR;228,26
24/Mar/2021;EUR;228,14
23/Mar/2021;EUR;226,93
22/Mar/2021;EUR;226,44
19/Mar/2021;EUR;225,92
18/Mar/2021;EUR;225,83
17/Mar/2021;EUR;226,11
16/Mar/2021;EUR;227,49
15/Mar/2021;EUR;227,11
12/Mar/2021;EUR;226,57
11/Mar/2021;EUR;226,73
10/Mar/2021;EUR;225,69
09/Mar/2021;EUR;225,64
08/Mar/2021;EUR;224,94
05/Mar/2021;EUR;225,30
04/Mar/2021;EUR;224,64
03/Mar/2021;EUR;224,51
02/Mar/2021;EUR;225,04
01/Mar/2021;EUR;225,03
26/Feb/2021;EUR;223,17
25/Feb/2021;EUR;222,51
24/Feb/2021;EUR;223,15
23/Feb/2021;EUR;223,63
22/Feb/2021;EUR;223,71
19/Feb/2021;EUR;222,59
18/Feb/2021;EUR;223,65
17/Feb/2021;EUR;224,85
16/Feb/2021;EUR;225,39
15/Feb/2021;EUR;225,30
12/Feb/2021;EUR;226,20
11/Feb/2021;EUR;226,31
10/Feb/2021;EUR;225,98
09/Feb/2021;EUR;226,19
08/Feb/2021;EUR;226,44
05/Feb/2021;EUR;226,57
04/Feb/2021;EUR;226,86
03/Feb/2021;EUR;227,29
02/Feb/2021;EUR;226,77
01/Feb/2021;EUR;226,64
29/Jan/2021;EUR;226,00
28/Jan/2021;EUR;226,09
27/Jan/2021;EUR;225,78
26/Jan/2021;EUR;225,63
25/Jan/2021;EUR;225,54
22/Jan/2021;EUR;225,09
21/Jan/2021;EUR;225,44
20/Jan/2021;EUR;226,63
19/Jan/2021;EUR;226,59
18/Jan/2021;EUR;226,19
15/Jan/2021;EUR;226,49
14/Jan/2021;EUR;226,20
13/Jan/2021;EUR;226,65
12/Jan/2021;EUR;225,44
11/Jan/2021;EUR;225,99
08/Jan/2021;EUR;226,53
07/Jan/2021;EUR;226,00
06/Jan/2021;EUR;225,73
05/Jan/2021;EUR;225,52
04/Jan/2021;EUR;225,46
31/Dec/2020;EUR;225,31
30/Dec/2020;EUR;225,32
29/Dec/2020;EUR;225,54
24/Dec/2020;EUR;224,54
23/Dec/2020;EUR;224,53
22/Dec/2020;EUR;224,75
21/Dec/2020;EUR;224,23
18/Dec/2020;EUR;225,06
17/Dec/2020;EUR;225,52
16/Dec/2020;EUR;225,33
15/Dec/2020;EUR;225,65
14/Dec/2020;EUR;225,52
11/Dec/2020;EUR;225,31
10/Dec/2020;EUR;225,25
09/Dec/2020;EUR;225,39
08/Dec/2020;EUR;225,60
07/Dec/2020;EUR;225,24
04/Dec/2020;EUR;224,94
03/Dec/2020;EUR;225,03
02/Dec/2020;EUR;224,05
01/Dec/2020;EUR;223,85
30/Nov/2020;EUR;224,08
27/Nov/2020;EUR;224,13
26/Nov/2020;EUR;223,96
25/Nov/2020;EUR;223,88
24/Nov/2020;EUR;223,83
23/Nov/2020;EUR;223,20
20/Nov/2020;EUR;222,84
19/Nov/2020;EUR;222,74
18/Nov/2020;EUR;222,77
17/Nov/2020;EUR;223,02
16/Nov/2020;EUR;223,14
13/Nov/2020;EUR;222,55
12/Nov/2020;EUR;222,31
11/Nov/2020;EUR;221,98
10/Nov/2020;EUR;221,32
09/Nov/2020;EUR;220,93
06/Nov/2020;EUR;221,18
05/Nov/2020;EUR;221,08
04/Nov/2020;EUR;220,80
03/Nov/2020;EUR;220,66
02/Nov/2020;EUR;220,37
30/Oct/2020;EUR;220,88
29/Oct/2020;EUR;221,07
28/Oct/2020;EUR;220,53
27/Oct/2020;EUR;221,64
26/Oct/2020;EUR;221,25
23/Oct/2020;EUR;221,16
22/Oct/2020;EUR;220,57
21/Oct/2020;EUR;221,32
20/Oct/2020;EUR;221,47
19/Oct/2020;EUR;221,32
16/Oct/2020;EUR;221,59
15/Oct/2020;EUR;220,91
14/Oct/2020;EUR;221,17
13/Oct/2020;EUR;221,03
12/Oct/2020;EUR;221,05
09/Oct/2020;EUR;220,83
08/Oct/2020;EUR;220,18
07/Oct/2020;EUR;219,61
06/Oct/2020;EUR;219,44
05/Oct/2020;EUR;219,11
02/Oct/2020;EUR;218,93
01/Oct/2020;EUR;218,68
30/Sept/2020;EUR;218,65
29/Sept/2020;EUR;218,96
28/Sept/2020;EUR;218,67
25/Sept/2020;EUR;218,85
24/Sept/2020;EUR;218,95
23/Sept/2020;EUR;219,39
22/Sept/2020;EUR;219,64
21/Sept/2020;EUR;219,41
18/Sept/2020;EUR;219,49
17/Sept/2020;EUR;219,92
16/Sept/2020;EUR;219,70
15/Sept/2020;EUR;219,20
14/Sept/2020;EUR;218,84
11/Sept/2020;EUR;218,46
10/Sept/2020;EUR;217,93
09/Sept/2020;EUR;217,92
08/Sept/2020;EUR;217,78
07/Sept/2020;EUR;217,91
04/Sept/2020;EUR;218,52
03/Sept/2020;EUR;219,19
02/Sept/2020;EUR;219,12
01/Sept/2020;EUR;218,32
31/Aug/2020;EUR;218,38
28/Aug/2020;EUR;218,86
27/Aug/2020;EUR;218,99
26/Aug/2020;EUR;219,21
25/Aug/2020;EUR;218,92
24/Aug/2020;EUR;219,97
21/Aug/2020;EUR;219,57
20/Aug/2020;EUR;219,96
19/Aug/2020;EUR;219,83
18/Aug/2020;EUR;219,56
17/Aug/2020;EUR;219,82
14/Aug/2020;EUR;219,51
13/Aug/2020;EUR;219,59
12/Aug/2020;EUR;220,47
11/Aug/2020;EUR;221,05
10/Aug/2020;EUR;221,41
07/Aug/2020;EUR;220,76
06/Aug/2020;EUR;220,38
05/Aug/2020;EUR;219,78
04/Aug/2020;EUR;220,10
03/Aug/2020;EUR;219,22
31/Jul/2020;EUR;219,25
30/Jul/2020;EUR;219,30
29/Jul/2020;EUR;218,93
28/Jul/2020;EUR;218,68
27/Jul/2020;EUR;218,70
24/Jul/2020;EUR;218,09
23/Jul/2020;EUR;218,53
22/Jul/2020;EUR;218,29
21/Jul/2020;EUR;217,84
20/Jul/2020;EUR;217,34
17/Jul/2020;EUR;216,24
16/Jul/2020;EUR;216,24
15/Jul/2020;EUR;215,97
14/Jul/2020;EUR;215,70
13/Jul/2020;EUR;214,69
10/Jul/2020;EUR;215,01
09/Jul/2020;EUR;215,51
08/Jul/2020;EUR;215,72
07/Jul/2020;EUR;215,28
06/Jul/2020;EUR;215,36
03/Jul/2020;EUR;215,08
02/Jul/2020;EUR;215,33
01/Jul/2020;EUR;214,43
30/Jun/2020;EUR;215,24
29/Jun/2020;EUR;215,03
26/Jun/2020;EUR;214,86
25/Jun/2020;EUR;214,69
24/Jun/2020;EUR;214,95
23/Jun/2020;EUR;214,31
22/Jun/2020;EUR;213,92
19/Jun/2020;EUR;213,28
18/Jun/2020;EUR;212,95
17/Jun/2020;EUR;212,29
16/Jun/2020;EUR;212,27
15/Jun/2020;EUR;211,75
12/Jun/2020;EUR;211,78
11/Jun/2020;EUR;211,51
10/Jun/2020;EUR;210,97
09/Jun/2020;EUR;211,49
08/Jun/2020;EUR;211,88
05/Jun/2020;EUR;211,31
04/Jun/2020;EUR;211,31
03/Jun/2020;EUR;210,12
02/Jun/2020;EUR;210,75
01/Jun/2020;EUR;210,50
29/May/2020;EUR;210,71
28/May/2020;EUR;210,09
27/May/2020;EUR;209,21
26/May/2020;EUR;208,63
22/May/2020;EUR;208,40
21/May/2020;EUR;208,41
20/May/2020;EUR;208,02
19/May/2020;EUR;207,60
18/May/2020;EUR;206,46
15/May/2020;EUR;206,09
14/May/2020;EUR;206,36
13/May/2020;EUR;206,90
12/May/2020;EUR;206,47
11/May/2020;EUR;206,46
07/May/2020;EUR;206,89
06/May/2020;EUR;206,38
05/May/2020;EUR;207,77
04/May/2020;EUR;208,27
01/May/2020;EUR;209,39
30/Apr/2020;EUR;209,38
29/Apr/2020;EUR;207,58
28/Apr/2020;EUR;207,10
27/Apr/2020;EUR;206,76
24/Apr/2020;EUR;206,29
23/Apr/2020;EUR;205,48
22/Apr/2020;EUR;203,83
21/Apr/2020;EUR;204,30
20/Apr/2020;EUR;205,77
17/Apr/2020;EUR;207,18
16/Apr/2020;EUR;206,88
15/Apr/2020;EUR;206,65
14/Apr/2020;EUR;207,05
09/Apr/2020;EUR;207,58
08/Apr/2020;EUR;206,22
07/Apr/2020;EUR;206,41
06/Apr/2020;EUR;207,32
03/Apr/2020;EUR;207,37
02/Apr/2020;EUR;206,92
01/Apr/2020;EUR;206,62
31/Mar/2020;EUR;207,29
30/Mar/2020;EUR;209,19
27/Mar/2020;EUR;208,88
26/Mar/2020;EUR;207,20
25/Mar/2020;EUR;202,70
24/Mar/2020;EUR;202,32
23/Mar/2020;EUR;203,39
20/Mar/2020;EUR;204,41
19/Mar/2020;EUR;202,48
18/Mar/2020;EUR;200,22
17/Mar/2020;EUR;202,67
16/Mar/2020;EUR;204,38
13/Mar/2020;EUR;209,95
12/Mar/2020;EUR;210,76
11/Mar/2020;EUR;216,51
10/Mar/2020;EUR;215,94
09/Mar/2020;EUR;216,44
06/Mar/2020;EUR;219,89
05/Mar/2020;EUR;221,19
04/Mar/2020;EUR;222,52
03/Mar/2020;EUR;222,52
02/Mar/2020;EUR;220,78
28/Feb/2020;EUR;221,17
27/Feb/2020;EUR;221,60
26/Feb/2020;EUR;222,46
25/Feb/2020;EUR;222,79
24/Feb/2020;EUR;222,82
21/Feb/2020;EUR;223,33
20/Feb/2020;EUR;223,34
19/Feb/2020;EUR;222,91
18/Feb/2020;EUR;222,79
17/Feb/2020;EUR;223,15
14/Feb/2020;EUR;223,10
13/Feb/2020;EUR;223,02
12/Feb/2020;EUR;222,46
11/Feb/2020;EUR;222,11
10/Feb/2020;EUR;222,81
07/Feb/2020;EUR;222,80
06/Feb/2020;EUR;222,69
05/Feb/2020;EUR;222,92
04/Feb/2020;EUR;223,10
03/Feb/2020;EUR;223,13
31/Jan/2020;EUR;223,45
30/Jan/2020;EUR;223,03
29/Jan/2020;EUR;222,65
28/Jan/2020;EUR;222,02
27/Jan/2020;EUR;222,10
24/Jan/2020;EUR;221,01
23/Jan/2020;EUR;220,86
22/Jan/2020;EUR;220,17
21/Jan/2020;EUR;220,20
20/Jan/2020;EUR;220,09
17/Jan/2020;EUR;219,92
16/Jan/2020;EUR;219,65
15/Jan/2020;EUR;220,05
14/Jan/2020;EUR;219,75
13/Jan/2020;EUR;219,32
10/Jan/2020;EUR;219,93
09/Jan/2020;EUR;219,42
08/Jan/2020;EUR;219,69
07/Jan/2020;EUR;220,03
06/Jan/2020;EUR;220,56
03/Jan/2020;EUR;220,49
02/Jan/2020;EUR;219,39
31/Dec/2019;EUR;219,02
30/Dec/2019;EUR;219,04
27/Dec/2019;EUR;219,88
24/Dec/2019;EUR;219,52
23/Dec/2019;EUR;219,47
20/Dec/2019;EUR;219,67
19/Dec/2019;EUR;219,59
18/Dec/2019;EUR;219,89
17/Dec/2019;EUR;220,40
16/Dec/2019;EUR;219,96
13/Dec/2019;EUR;220,34
12/Dec/2019;EUR;219,39
11/Dec/2019;EUR;219,78
10/Dec/2019;EUR;219,31
09/Dec/2019;EUR;219,20
06/Dec/2019;EUR;218,67
05/Dec/2019;EUR;218,43
04/Dec/2019;EUR;219,37
03/Dec/2019;EUR;219,54
02/Dec/2019;EUR;218,36
29/Nov/2019;EUR;219,65
28/Nov/2019;EUR;219,22
27/Nov/2019;EUR;219,19
26/Nov/2019;EUR;219,41
25/Nov/2019;EUR;219,44
22/Nov/2019;EUR;219,57
21/Nov/2019;EUR;219,50
20/Nov/2019;EUR;219,64
19/Nov/2019;EUR;219,48
18/Nov/2019;EUR;219,92
15/Nov/2019;EUR;219,67
14/Nov/2019;EUR;219,34
13/Nov/2019;EUR;219,42
12/Nov/2019;EUR;219,40
11/Nov/2019;EUR;219,06
08/Nov/2019;EUR;219,55
07/Nov/2019;EUR;220,04
06/Nov/2019;EUR;221,02
05/Nov/2019;EUR;220,89
04/Nov/2019;EUR;220,68
01/Nov/2019;EUR;220,52
31/Oct/2019;EUR;221,21
30/Oct/2019;EUR;220,50
29/Oct/2019;EUR;220,64
28/Oct/2019;EUR;220,24
25/Oct/2019;EUR;220,61
24/Oct/2019;EUR;221,02
23/Oct/2019;EUR;220,49
22/Oct/2019;EUR;220,67
21/Oct/2019;EUR;220,22
18/Oct/2019;EUR;221,01
17/Oct/2019;EUR;221,45
16/Oct/2019;EUR;221,10
15/Oct/2019;EUR;220,93
14/Oct/2019;EUR;221,04
11/Oct/2019;EUR;220,81
10/Oct/2019;EUR;220,68
09/Oct/2019;EUR;221,61
08/Oct/2019;EUR;221,82
07/Oct/2019;EUR;221,38
04/Oct/2019;EUR;221,70
03/Oct/2019;EUR;221,50
02/Oct/2019;EUR;221,17
01/Oct/2019;EUR;221,88
30/Sept/2019;EUR;222,30
27/Sept/2019;EUR;222,72
26/Sept/2019;EUR;223,02
25/Sept/2019;EUR;223,06
24/Sept/2019;EUR;223,70
23/Sept/2019;EUR;223,36
20/Sept/2019;EUR;222,45
19/Sept/2019;EUR;222,74
18/Sept/2019;EUR;223,00
17/Sept/2019;EUR;222,56
16/Sept/2019;EUR;223,33
13/Sept/2019;EUR;222,41
12/Sept/2019;EUR;223,98
11/Sept/2019;EUR;222,31
10/Sept/2019;EUR;221,90
09/Sept/2019;EUR;222,69
06/Sept/2019;EUR;223,83
05/Sept/2019;EUR;223,18
04/Sept/2019;EUR;223,88
03/Sept/2019;EUR;223,70
02/Sept/2019;EUR;223,06
30/Aug/2019;EUR;223,43
29/Aug/2019;EUR;224,27
28/Aug/2019;EUR;224,21
27/Aug/2019;EUR;223,91
23/Aug/2019;EUR;222,72
22/Aug/2019;EUR;222,60
21/Aug/2019;EUR;222,95
20/Aug/2019;EUR;223,05
19/Aug/2019;EUR;222,36
16/Aug/2019;EUR;223,09
15/Aug/2019;EUR;223,95
14/Aug/2019;EUR;221,70
13/Aug/2019;EUR;221,37
12/Aug/2019;EUR;220,38
09/Aug/2019;EUR;219,47
08/Aug/2019;EUR;220,62
07/Aug/2019;EUR;221,47
06/Aug/2019;EUR;220,59
05/Aug/2019;EUR;219,60
02/Aug/2019;EUR;219,65
01/Aug/2019;EUR;220,02
31/Jul/2019;EUR;220,31
30/Jul/2019;EUR;219,62
29/Jul/2019;EUR;219,97
26/Jul/2019;EUR;220,11
25/Jul/2019;EUR;219,49
24/Jul/2019;EUR;219,65
23/Jul/2019;EUR;218,62
22/Jul/2019;EUR;218,57
19/Jul/2019;EUR;218,77
18/Jul/2019;EUR;218,23
17/Jul/2019;EUR;217,32
16/Jul/2019;EUR;217,04
15/Jul/2019;EUR;216,85
12/Jul/2019;EUR;216,10
11/Jul/2019;EUR;216,29
10/Jul/2019;EUR;216,55
09/Jul/2019;EUR;216,31
08/Jul/2019;EUR;216,64
05/Jul/2019;EUR;216,89
04/Jul/2019;EUR;216,80
03/Jul/2019;EUR;216,68
02/Jul/2019;EUR;215,13
01/Jul/2019;EUR;215,16
28/Jun/2019;EUR;214,21
27/Jun/2019;EUR;213,78
26/Jun/2019;EUR;213,78
25/Jun/2019;EUR;214,00
24/Jun/2019;EUR;214,25
21/Jun/2019;EUR;214,26
20/Jun/2019;EUR;214,86
19/Jun/2019;EUR;213,52
18/Jun/2019;EUR;213,69
17/Jun/2019;EUR;210,26
14/Jun/2019;EUR;210,30
13/Jun/2019;EUR;210,39
12/Jun/2019;EUR;210,30
11/Jun/2019;EUR;211,08
10/Jun/2019;EUR;210,88
07/Jun/2019;EUR;211,29
06/Jun/2019;EUR;210,34
05/Jun/2019;EUR;210,41
04/Jun/2019;EUR;210,22
03/Jun/2019;EUR;209,81
31/May/2019;EUR;209,43
30/May/2019;EUR;209,39
29/May/2019;EUR;209,26
28/May/2019;EUR;208,83
24/May/2019;EUR;208,89
23/May/2019;EUR;208,26
22/May/2019;EUR;208,60
21/May/2019;EUR;208,31
20/May/2019;EUR;208,18
17/May/2019;EUR;208,46
16/May/2019;EUR;208,41
15/May/2019;EUR;208,06
14/May/2019;EUR;208,13
13/May/2019;EUR;208,44
10/May/2019;EUR;208,55
09/May/2019;EUR;208,53
08/May/2019;EUR;209,20
07/May/2019;EUR;209,29
03/May/2019;EUR;209,48
02/May/2019;EUR;209,41
01/May/2019;EUR;209,59
30/Apr/2019;EUR;209,58
29/Apr/2019;EUR;209,07
26/Apr/2019;EUR;208,80
25/Apr/2019;EUR;208,75
24/Apr/2019;EUR;209,22
23/Apr/2019;EUR;208,77
18/Apr/2019;EUR;209,21
17/Apr/2019;EUR;208,45
16/Apr/2019;EUR;208,57
15/Apr/2019;EUR;208,69
12/Apr/2019;EUR;208,87
11/Apr/2019;EUR;209,31
10/Apr/2019;EUR;209,30
09/Apr/2019;EUR;209,07
08/Apr/2019;EUR;208,93
05/Apr/2019;EUR;208,75
04/Apr/2019;EUR;208,51
03/Apr/2019;EUR;208,19
02/Apr/2019;EUR;208,69
01/Apr/2019;EUR;208,39
31/Mar/2019;EUR;208,59
29/Mar/2019;EUR;208,59
28/Mar/2019;EUR;208,33
27/Mar/2019;EUR;208,75
26/Mar/2019;EUR;208,74
25/Mar/2019;EUR;208,90
22/Mar/2019;EUR;209,20
21/Mar/2019;EUR;209,58
20/Mar/2019;EUR;208,66
19/Mar/2019;EUR;208,51
18/Mar/2019;EUR;208,72
15/Mar/2019;EUR;208,27
14/Mar/2019;EUR;208,49
13/Mar/2019;EUR;208,10
12/Mar/2019;EUR;207,99
11/Mar/2019;EUR;207,79
08/Mar/2019;EUR;207,79
07/Mar/2019;EUR;208,65
06/Mar/2019;EUR;207,59
05/Mar/2019;EUR;206,93
04/Mar/2019;EUR;206,70
01/Mar/2019;EUR;206,18
28/Feb/2019;EUR;206,00
27/Feb/2019;EUR;205,68
26/Feb/2019;EUR;206,54
25/Feb/2019;EUR;206,56
22/Feb/2019;EUR;206,17
21/Feb/2019;EUR;206,19
20/Feb/2019;EUR;206,49
19/Feb/2019;EUR;206,75
18/Feb/2019;EUR;206,82
15/Feb/2019;EUR;206,44
14/Feb/2019;EUR;206,36
13/Feb/2019;EUR;206,16
12/Feb/2019;EUR;205,84
11/Feb/2019;EUR;205,52
08/Feb/2019;EUR;205,31
07/Feb/2019;EUR;206,01
06/Feb/2019;EUR;206,53
05/Feb/2019;EUR;206,71
04/Feb/2019;EUR;206,88
01/Feb/2019;EUR;207,08
31/Jan/2019;EUR;207,70
30/Jan/2019;EUR;207,12
29/Jan/2019;EUR;207,05
28/Jan/2019;EUR;206,94
25/Jan/2019;EUR;207,46
24/Jan/2019;EUR;207,32
23/Jan/2019;EUR;206,46
22/Jan/2019;EUR;206,33
21/Jan/2019;EUR;206,25
18/Jan/2019;EUR;206,41
17/Jan/2019;EUR;206,16
16/Jan/2019;EUR;206,50
15/Jan/2019;EUR;206,24
14/Jan/2019;EUR;206,43
11/Jan/2019;EUR;206,22
10/Jan/2019;EUR;206,19
09/Jan/2019;EUR;205,99
08/Jan/2019;EUR;205,04
07/Jan/2019;EUR;204,99
04/Jan/2019;EUR;205,06
03/Jan/2019;EUR;205,33
02/Jan/2019;EUR;206,19
31/Dec/2018;EUR;205,99
28/Dec/2018;EUR;206,00
27/Dec/2018;EUR;206,58
24/Dec/2018;EUR;206,45
21/Dec/2018;EUR;206,43
20/Dec/2018;EUR;207,45
19/Dec/2018;EUR;207,27
18/Dec/2018;EUR;206,95
17/Dec/2018;EUR;207,05
14/Dec/2018;EUR;207,27
13/Dec/2018;EUR;207,16
12/Dec/2018;EUR;207,05
11/Dec/2018;EUR;206,63
10/Dec/2018;EUR;206,67
07/Dec/2018;EUR;206,62
06/Dec/2018;EUR;206,44
05/Dec/2018;EUR;206,88
04/Dec/2018;EUR;206,74
03/Dec/2018;EUR;206,38
30/Nov/2018;EUR;205,69
29/Nov/2018;EUR;205,49
28/Nov/2018;EUR;204,62
27/Nov/2018;EUR;204,78
26/Nov/2018;EUR;204,69
23/Nov/2018;EUR;203,42
22/Nov/2018;EUR;204,46
21/Nov/2018;EUR;204,28
20/Nov/2018;EUR;204,33
19/Nov/2018;EUR;204,62
16/Nov/2018;EUR;205,30
15/Nov/2018;EUR;205,43
14/Nov/2018;EUR;205,25
13/Nov/2018;EUR;205,75
12/Nov/2018;EUR;206,19
09/Nov/2018;EUR;206,22
08/Nov/2018;EUR;206,04
07/Nov/2018;EUR;206,35
06/Nov/2018;EUR;206,17
05/Nov/2018;EUR;206,48
02/Nov/2018;EUR;206,11
01/Nov/2018;EUR;205,94
31/Oct/2018;EUR;206,04
30/Oct/2018;EUR;205,75
29/Oct/2018;EUR;206,25
26/Oct/2018;EUR;205,69
25/Oct/2018;EUR;205,22
24/Oct/2018;EUR;204,85
23/Oct/2018;EUR;205,27
22/Oct/2018;EUR;205,48
19/Oct/2018;EUR;205,06
18/Oct/2018;EUR;204,98
17/Oct/2018;EUR;205,57
16/Oct/2018;EUR;205,67
15/Oct/2018;EUR;204,93
12/Oct/2018;EUR;204,96
11/Oct/2018;EUR;205,00
10/Oct/2018;EUR;205,31
09/Oct/2018;EUR;205,29
08/Oct/2018;EUR;204,98
05/Oct/2018;EUR;205,59
04/Oct/2018;EUR;206,35
03/Oct/2018;EUR;206,66
02/Oct/2018;EUR;206,48
01/Oct/2018;EUR;206,74
30/Sept/2018;EUR;207,43
28/Sept/2018;EUR;207,43
27/Sept/2018;EUR;208,44
26/Sept/2018;EUR;208,49
25/Sept/2018;EUR;208,05
24/Sept/2018;EUR;207,94
